,AnalogValue,Density,Amplitude,Result
0,1097,1093,1.34,1
1,1117,1120,1.36,1
2,1136,1136,1.39,1
3,1118,1117,1.37,1
4,1102,1095,1.35,1
5,1074,1075,1.31,1
6,1036,1031,1.26,1
7,1011,1007,1.23,1
8,993,991,1.21,1
9,986,979,1.2,1
10,986,988,1.2,1
11,1066,1069,1.3,1
12,1079,1075,1.32,1
13,1071,1071,1.31,1
14,1101,1104,1.34,1
15,1170,1181,1.43,1
16,1200,1189,1.47,1
17,1182,1180,1.44,1
18,1179,1178,1.44,1
19,1177,1178,1.44,1
20,1167,1166,1.42,1
21,1168,1168,1.43,1
22,1156,1155,1.41,1
23,1156,1156,1.41,1
24,1143,1145,1.4,1
25,1127,1127,1.38,1
26,1142,1141,1.39,1
27,1140,1141,1.39,1
28,1149,1147,1.4,1
29,1127,1131,1.38,1
30,1107,1105,1.35,1
31,1072,1072,1.31,1
32,1067,1070,1.3,1
33,1079,1077,1.32,1
34,1075,1072,1.31,1
35,1078,1074,1.32,1
36,1108,1117,1.35,1
37,1134,1131,1.38,1
38,1216,1214,1.48,1
39,1201,1200,1.47,1
40,1181,1184,1.44,1
41,1159,1159,1.42,1
42,1147,1139,1.4,1
43,1125,1123,1.37,1
44,1088,1090,1.33,1
45,1070,1072,1.31,1
46,1051,1049,1.28,1
47,1041,1040,1.27,1
48,1008,1007,1.23,1
49,990,987,1.21,1
50,980,977,1.2,1
51,963,962,1.18,1
52,949,949,1.16,1
53,955,953,1.17,1
54,975,974,1.19,1
55,968,966,1.18,1
56,944,940,1.15,1
57,926,933,1.13,1
58,916,913,1.12,1
59,897,887,1.1,1
60,881,883,1.08,1
61,888,889,1.08,1
62,890,893,1.09,1
63,891,887,1.09,1
64,882,885,1.08,1
65,887,883,1.08,1
66,863,864,1.05,1
67,857,858,1.05,1
68,922,923,1.13,1
69,908,903,1.11,1
70,896,895,1.09,1
71,879,879,1.07,1
72,878,881,1.07,1
73,887,890,1.08,1
74,912,912,1.11,1
75,918,915,1.12,1
76,899,898,1.1,1
77,913,912,1.11,1
78,937,931,1.14,1
79,941,944,1.15,1
80,985,983,1.2,1
81,981,987,1.2,1
82,989,986,1.21,1
83,976,973,1.19,1
84,999,1001,1.22,1
85,977,977,1.19,1
86,954,954,1.16,1
87,949,944,1.16,1
88,935,931,1.14,1
89,912,917,1.11,1
90,895,896,1.09,1
91,875,876,1.07,1
92,861,855,1.05,1
93,847,845,1.03,1
94,832,828,1.02,1
95,820,807,1.0,1
96,796,795,0.97,1
97,779,779,0.95,1
98,768,774,0.94,1
99,756,755,0.92,1
