,AnalogValue,Density,Amplitude,Result
0,917,913,1.12,1
1,909,902,1.11,1
2,896,896,1.09,1
3,885,881,1.08,1
4,885,886,1.08,1
5,880,878,1.07,1
6,866,867,1.06,1
7,839,835,1.02,1
8,846,848,1.03,1
9,848,848,1.04,1
10,869,866,1.06,1
11,865,866,1.06,1
12,866,867,1.06,1
13,867,865,1.06,1
14,862,854,1.05,1
15,842,845,1.03,1
16,834,841,1.02,1
17,835,835,1.02,1
18,826,828,1.01,1
19,815,816,1.0,1
20,806,809,0.98,1
21,800,793,0.98,1
22,787,784,0.96,1
23,785,794,0.96,1
24,785,784,0.96,1
25,777,774,0.95,1
26,759,760,0.93,1
27,752,752,0.92,1
28,757,759,0.92,1
29,787,784,0.96,1
30,770,769,0.94,1
31,816,822,1.0,1
32,818,817,1.0,1
33,829,827,1.01,1
34,821,814,1.0,1
35,813,816,0.99,1
36,811,815,0.99,1
37,820,818,1.0,1
38,818,825,1.0,1
39,835,840,1.02,1
40,827,827,1.01,1
41,816,817,1.0,1
42,815,815,1.0,1
43,801,799,0.98,1
44,791,790,0.97,1
45,789,797,0.96,1
46,810,809,0.99,1
47,803,802,0.98,1
48,818,817,1.0,1
49,814,816,0.99,1
50,802,798,0.98,1
51,790,785,0.96,1
52,782,780,0.95,1
53,772,763,0.94,1
54,752,752,0.92,1
55,769,766,0.94,1
56,771,771,0.94,1
57,785,785,0.96,1
58,777,784,0.95,1
59,784,781,0.96,1
60,796,791,0.97,1
61,816,816,1.0,1
62,829,827,1.01,1
63,823,819,1.0,1
64,829,828,1.01,1
65,816,819,1.0,1
66,811,811,0.99,1
67,803,798,0.98,1
68,790,793,0.96,1
69,785,781,0.96,1
70,817,816,1.0,1
71,839,846,1.02,1
72,850,852,1.04,1
73,853,851,1.04,1
74,843,841,1.03,1
75,848,848,1.04,1
76,848,848,1.04,1
77,870,866,1.06,1
78,861,855,1.05,1
79,850,849,1.04,1
80,844,837,1.03,1
81,823,828,1.0,1
82,816,814,1.0,1
83,810,807,0.99,1
84,795,791,0.97,1
85,774,775,0.95,1
86,764,759,0.93,1
87,752,751,0.92,1
88,742,741,0.91,1
89,733,727,0.89,1
90,718,714,0.88,1
91,707,704,0.86,1
92,690,691,0.84,1
93,675,673,0.82,1
94,662,665,0.81,1
95,662,666,0.81,1
96,651,651,0.79,1
97,649,645,0.79,1
98,646,647,0.79,1
99,640,635,0.78,1
