AnalogValue,Density,Amplitude
1108,1107,1.35
1104,1104,1.35
1095,1094,1.34
1081,1078,1.32
1077,1072,1.32
1057,1070,1.29
1104,1105,1.35
1098,1089,1.34
1087,1088,1.33
1078,1075,1.32
1071,1072,1.31
1070,1070,1.31
1061,1056,1.3
1040,1040,1.27
1039,1040,1.27
1040,1039,1.27
1059,1060,1.29
1050,1054,1.28
1045,1051,1.28
1033,1037,1.26
1029,1034,1.26
1033,1035,1.26
1019,1020,1.24
1013,1019,1.24
1015,1021,1.24
1012,1019,1.24
1007,1005,1.23
996,1001,1.22
1003,999,1.22
999,1000,1.22
995,993,1.21
975,986,1.19
992,987,1.21
989,991,1.21
987,985,1.21
979,979,1.2
976,976,1.19
961,958,1.17
960,961,1.17
976,977,1.19
973,1007,1.19
968,971,1.18
967,976,1.18
960,962,1.17
969,981,1.18
969,976,1.18
975,975,1.19
976,975,1.19
973,971,1.19
972,967,1.19
967,946,1.18
960,961,1.17
948,954,1.16
949,950,1.16
944,943,1.15
923,929,1.13
929,927,1.13
922,925,1.13
910,928,1.11
919,925,1.12
916,917,1.12
919,918,1.12
912,914,1.11
912,917,1.11
902,906,1.1
893,899,1.09
898,891,1.1
897,905,1.1
902,902,1.1
913,896,1.11
899,901,1.1
930,926,1.14
926,927,1.13
915,915,1.12
916,912,1.12
902,903,1.1
910,907,1.11
898,900,1.1
891,892,1.09
880,889,1.07
897,882,1.1
874,871,1.07
867,869,1.06
896,890,1.09
880,887,1.07
883,881,1.08
876,879,1.07
866,874,1.06
874,864,1.07
859,859,1.05
843,843,1.03
831,830,1.01
826,830,1.01
821,827,1.0
835,831,1.02
849,850,1.04
853,859,1.04
849,848,1.04
891,884,1.09
883,889,1.08
880,880,1.07
879,878,1.07
873,869,1.07
870,871,1.06
860,863,1.05
861,864,1.05
861,866,1.05
865,871,1.06
879,881,1.07
878,880,1.07
876,878,1.07
874,869,1.07
869,868,1.06
869,872,1.06
906,909,1.11
899,899,1.1
891,891,1.09
881,880,1.08
877,877,1.07
877,869,1.07
873,869,1.07
874,864,1.07
874,871,1.07
873,874,1.07
879,875,1.07
901,903,1.1
903,918,1.1
915,917,1.12
916,914,1.12
934,943,1.14
963,963,1.18
960,960,1.17
955,958,1.17
949,935,1.16
934,934,1.14
941,937,1.15
943,935,1.15
932,939,1.14
945,958,1.15
944,942,1.15
938,940,1.15
938,931,1.15
940,930,1.15
937,937,1.14
949,947,1.16
981,983,1.2
992,997,1.21
1023,1018,1.25
1021,1017,1.25
1022,1034,1.25
1014,1014,1.24
1002,1001,1.22
994,994,1.21
994,995,1.21
989,982,1.21
993,990,1.21
982,973,1.2
979,976,1.2
977,974,1.19
975,975,1.19
981,976,1.2
974,976,1.19
968,960,1.18
955,959,1.17
950,951,1.16
942,944,1.15
943,939,1.15
944,945,1.15
943,946,1.15
934,934,1.14
942,942,1.15
935,932,1.14
944,944,1.15
938,935,1.15
949,944,1.16
948,951,1.16
944,946,1.15
944,946,1.15
946,946,1.16
951,957,1.16
953,948,1.16
942,944,1.15
944,944,1.15
947,947,1.16
944,945,1.15
940,942,1.15
937,937,1.14
944,943,1.15
939,932,1.15
935,933,1.14
937,935,1.14
934,931,1.14
916,931,1.12
932,927,1.14
945,949,1.15
943,945,1.15
944,947,1.15
941,936,1.15
943,940,1.15
942,939,1.15
934,931,1.14
922,919,1.13
915,912,1.12
906,906,1.11
912,912,1.11
909,910,1.11
905,901,1.11
894,895,1.09
886,884,1.08
877,877,1.07
875,880,1.07
885,889,1.08
881,883,1.08
882,885,1.08
859,879,1.05
870,877,1.06
859,861,1.05
866,858,1.06
855,863,1.04
885,891,1.08
885,884,1.08
897,896,1.1
913,918,1.11
946,951,1.16
960,961,1.17
956,953,1.17
948,947,1.16
944,943,1.15
929,930,1.13
934,934,1.14
921,919,1.12
911,910,1.11
897,901,1.1
894,895,1.09
881,886,1.08
881,880,1.08
879,869,1.07
868,867,1.06
859,861,1.05
850,853,1.04
848,848,1.04
864,866,1.05
864,859,1.05
859,859,1.05
860,863,1.05
864,864,1.05
865,862,1.06
881,880,1.08
874,873,1.07
874,875,1.07
865,869,1.06
868,861,1.06
866,867,1.06
858,857,1.05
851,848,1.04
877,876,1.07
886,891,1.08
891,890,1.09
883,885,1.08
892,890,1.09
889,883,1.09
891,888,1.09
880,880,1.07
880,878,1.07
899,887,1.1
907,910,1.11
899,906,1.1
898,898,1.1
903,903,1.1
944,945,1.15
944,944,1.15
945,947,1.15
946,945,1.16
941,943,1.15
946,945,1.16
944,947,1.15
944,944,1.15
945,943,1.15
943,944,1.15
947,949,1.16
943,943,1.15
951,953,1.16
971,975,1.19
970,964,1.18
960,960,1.17
949,949,1.16
938,934,1.15
941,937,1.15
929,928,1.13
926,928,1.13
924,919,1.13
915,912,1.12
902,898,1.1
901,895,1.1
899,905,1.1
912,911,1.11
901,907,1.1
896,898,1.09
903,901,1.1
897,896,1.1
891,896,1.09
901,898,1.1
890,890,1.09
881,882,1.08
876,880,1.07
877,879,1.07
867,866,1.06
873,870,1.07
876,880,1.07
910,909,1.11
890,883,1.09
881,880,1.08
878,879,1.07
871,869,1.06
874,870,1.07
875,868,1.07
874,874,1.07
946,954,1.16
959,960,1.17
959,959,1.17
955,950,1.17
968,969,1.18
972,974,1.19
962,965,1.17
960,962,1.17
944,942,1.15
947,949,1.16
941,940,1.15
953,942,1.16
953,947,1.16
960,958,1.17
949,950,1.16
944,941,1.15
925,930,1.13
921,915,1.12
931,933,1.14
964,962,1.18
985,980,1.2
983,978,1.2
977,975,1.19
977,981,1.19
992,991,1.21
993,989,1.21
1017,1021,1.24
1042,1043,1.27
1040,1040,1.27
1056,1061,1.29
1050,1051,1.28
1040,1040,1.27
1039,1040,1.27
1077,1083,1.32
1086,1087,1.33
1066,1065,1.3
1072,1071,1.31
1063,1061,1.3
1083,1088,1.32
1092,1092,1.33
1086,1083,1.33
1078,1084,1.32
1081,1085,1.32
1075,1075,1.31
1074,1074,1.31
1056,1055,1.29
1059,1059,1.29
1050,1048,1.28
1051,1054,1.28
1088,1085,1.33
1087,1088,1.33
1072,1077,1.31
1085,1090,1.32
1094,1097,1.34
1104,1104,1.35
1137,1152,1.39
1137,1137,1.39
1125,1122,1.37
1117,1119,1.36
1133,1134,1.38
1147,1145,1.4
1136,1136,1.39
1136,1136,1.39
1128,1133,1.38
1143,1145,1.4
1122,1119,1.37
1102,1104,1.35
1089,1091,1.33
1099,1102,1.34
1117,1118,1.36
1105,1108,1.35
1119,1111,1.37
1168,1170,1.43
1171,1171,1.43
1161,1157,1.42
1136,1136,1.39
1136,1136,1.39
1193,1193,1.46
1209,1215,1.48
1278,1276,1.56
1303,1303,1.59
1310,1308,1.6
1319,1319,1.61
1315,1313,1.61
1300,1296,1.59
1274,1261,1.56
1263,1257,1.54
1245,1245,1.52
1216,1219,1.48
1203,1200,1.47
1211,1217,1.48
1234,1238,1.51
1242,1244,1.52
1243,1241,1.52
1235,1223,1.51
1210,1214,1.48
1200,1205,1.47
1200,1197,1.47
1235,1235,1.51
1225,1227,1.5
1211,1205,1.48
1207,1212,1.47
1229,1230,1.5
1230,1232,1.5
1238,1239,1.51
1248,1246,1.52
1240,1241,1.51
1226,1228,1.5
1221,1222,1.49
1234,1241,1.51
1263,1264,1.54
1229,1229,1.5
1218,1216,1.49
1205,1201,1.47
1199,1196,1.46
1173,1180,1.43
1168,1166,1.43
1149,1151,1.4
1124,1126,1.37
1123,1123,1.37
1119,1120,1.37
1115,1115,1.36
1116,1121,1.36
1109,1113,1.35
1104,1104,1.35
1168,1172,1.43
1204,1206,1.47
1182,1178,1.44
1175,1170,1.43
1155,1168,1.41
1151,1154,1.41
1139,1150,1.39
1136,1136,1.39
1136,1136,1.39
1119,1121,1.37
1110,1107,1.36
1106,1105,1.35
1104,1103,1.35
1084,1083,1.32
1072,1066,1.31
1079,1079,1.32
1104,1104,1.35
1089,1088,1.33
1079,1077,1.32
1071,1068,1.31
1051,1052,1.28
1041,1040,1.27
1030,1031,1.26
1011,1016,1.23
1008,1008,1.23
1022,1023,1.25
1056,1058,1.29
1053,1046,1.29
1044,1040,1.27
1031,1034,1.26
1023,1022,1.25
1043,1046,1.27
1056,1059,1.29
1039,1038,1.27
1021,1030,1.25
1014,1015,1.24
1003,997,1.22
992,1022,1.21
997,997,1.22
989,989,1.21
979,976,1.2
966,970,1.18
983,980,1.2
994,993,1.21
1006,1000,1.23
997,997,1.22
1040,1038,1.27
1071,1071,1.31
1052,1050,1.28
1052,1056,1.28
1047,1041,1.28
1055,1055,1.29
1054,1056,1.29
1043,1042,1.27
1017,1015,1.24
1018,1013,1.24
1008,1008,1.23
1008,1009,1.23
1022,1022,1.25
1018,1017,1.24
1012,1009,1.24
1033,1035,1.26
1070,1070,1.31
1089,1089,1.33
1105,1104,1.35
1104,1104,1.35
1115,1115,1.36
