AnalogValue,Density,Amplitude,Result
881,887,1.08,0
909,903,1.11,0
889,890,1.09,0
898,903,1.1,0
901,898,1.1,0
891,894,1.09,0
880,880,1.07,0
869,875,1.06,0
873,874,1.07,0
868,870,1.06,0
862,864,1.05,0
853,860,1.04,0
855,867,1.04,0
851,853,1.04,0
848,848,1.04,0
852,854,1.04,0
849,855,1.04,0
850,847,1.04,0
846,839,1.03,0
844,842,1.03,0
834,839,1.02,0
831,826,1.01,0
830,815,1.01,0
821,826,1,0
825,821,1.01,0
816,816,1,0
813,816,0.99,0
811,812,0.99,0
800,802,0.98,0
800,804,0.98,0
802,805,0.98,0
800,803,0.98,0
792,803,0.97,0
801,797,0.98,0
801,797,0.98,0
799,788,0.98,0
797,791,0.97,0
784,765,0.96,0
777,765,0.95,0
775,774,0.95,0
770,768,0.94,0
763,769,0.93,0
770,771,0.94,0
769,763,0.94,0
769,766,0.94,0
759,758,0.93,0
752,752,0.92,0
751,752,0.92,0
751,752,0.92,0
749,743,0.91,0
743,739,0.91,0
737,736,0.9,0
736,738,0.9,0
733,732,0.89,0
733,721,0.89,0
722,723,0.88,0
725,720,0.89,0
720,721,0.88,0
724,727,0.88,0
734,734,0.9,0
738,736,0.9,0
734,738,0.9,0
737,736,0.9,0
733,734,0.89,0
731,727,0.89,0
731,726,0.89,0
724,722,0.88,0
720,719,0.88,0
714,707,0.87,0
720,727,0.88,0
703,716,0.86,0
707,709,0.86,0
699,703,0.85,0
694,693,0.85,0
694,693,0.85,0
710,688,0.87,0
691,688,0.84,0
690,688,0.84,0
683,678,0.83,0
685,678,0.84,0
683,679,0.83,0
671,663,0.82,0
657,658,0.8,0
649,657,0.79,0
656,658,0.8,0
656,656,0.8,0
656,656,0.8,0
656,656,0.8,0
654,656,0.8,0
653,651,0.8,0
643,637,0.79,0
631,631,0.77,0
636,643,0.78,0
631,635,0.77,0
638,635,0.78,0
639,636,0.78,0
635,630,0.78,0
635,634,0.78,0
634,626,0.77,0
631,628,0.77,0
629,626,0.77,0
627,625,0.77,0
630,626,0.77,0
630,625,0.77,0
653,630,0.8,0
629,630,0.77,0
621,625,0.76,0
621,623,0.76,0
606,610,0.74,0
606,614,0.74,0
619,610,0.76,0
619,609,0.76,0
597,614,0.73,0
611,624,0.75,0
623,623,0.76,0
615,622,0.75,0
620,621,0.76,0
622,624,0.76,0
612,626,0.75,0
626,621,0.76,0
619,622,0.76,0
618,624,0.75,0
622,624,0.76,0
614,621,0.75,0
609,613,0.74,0
608,603,0.74,0
603,607,0.74,0
609,604,0.74,0
613,608,0.75,0
612,609,0.75,0
609,617,0.74,0
607,618,0.74,0
624,620,0.76,0
624,626,0.76,0
612,611,0.75,0
614,613,0.75,0
619,618,0.76,0
619,623,0.76,0
611,623,0.75,0
623,621,0.76,0
619,617,0.76,0
624,620,0.76,0
614,609,0.75,0
603,601,0.74,0
606,598,0.74,0
605,603,0.74,0
614,607,0.75,0
611,610,0.75,0
611,609,0.75,0
614,619,0.75,0
615,614,0.75,0
618,615,0.75,0
611,610,0.75,0
611,614,0.75,0
613,618,0.75,0
614,613,0.75,0
607,605,0.74,0
624,620,0.76,0
615,620,0.75,0
623,622,0.76,0
618,618,0.75,0
601,615,0.73,0
611,624,0.75,0
614,614,0.75,0
610,635,0.74,0
613,618,0.75,0
617,617,0.75,0
612,617,0.75,0
619,617,0.76,0
608,609,0.74,0
611,611,0.75,0
611,608,0.75,0
608,609,0.74,0
612,611,0.75,0
625,627,0.76,0
628,624,0.77,0
629,630,0.77,0
631,626,0.77,0
627,627,0.77,0
625,625,0.76,0
625,630,0.76,0
626,632,0.76,0
639,644,0.78,0
656,656,0.8,0
654,654,0.8,0
643,653,0.79,0
629,647,0.77,0
641,639,0.78,0
641,639,0.78,0
645,641,0.79,0
645,641,0.79,0
647,647,0.79,0
656,656,0.8,0
655,659,0.8,0
656,656,0.8,0
654,646,0.8,0
640,638,0.78,0
640,638,0.78,0
634,636,0.77,0
643,639,0.79,0
643,640,0.79,0
641,639,0.78,0
643,645,0.79,0
645,640,0.79,0
639,659,0.78,0
634,634,0.77,0
639,635,0.78,0
646,642,0.79,0
649,646,0.79,0
653,651,0.8,0
645,647,0.79,0
650,648,0.79,0
646,656,0.79,0
641,642,0.78,0
629,627,0.77,0
631,629,0.77,0
640,638,0.78,0
637,635,0.78,0
640,635,0.78,0
638,637,0.78,0
640,635,0.78,0
647,654,0.79,0
654,651,0.8,0
642,645,0.78,0
641,643,0.78,0
640,641,0.78,0
640,640,0.78,0
656,654,0.8,0
661,665,0.81,0
660,666,0.81,0
669,677,0.82,0
673,671,0.82,0
682,671,0.83,0
676,678,0.83,0
682,683,0.83,0
685,682,0.84,0
685,684,0.84,0
688,687,0.84,0
689,688,0.84,0
688,686,0.84,0
679,679,0.83,0
682,682,0.83,0
684,688,0.84,0
688,684,0.84,0
688,688,0.84,0
688,685,0.84,0
689,689,0.84,0
694,689,0.85,0
688,686,0.84,0
683,688,0.83,0
693,690,0.85,0
702,691,0.86,0
701,690,0.86,0
694,695,0.85,0
699,695,0.85,0
705,701,0.86,0
705,704,0.86,0
695,695,0.85,0
688,691,0.84,0
693,694,0.85,0
690,692,0.84,0
694,694,0.85,0
691,694,0.84,0
699,699,0.85,0
707,704,0.86,0
710,711,0.87,0
707,710,0.86,0
