,AnalogValue,Density,Amplitude,Result
0,501,506,0.61,0
1,506,506,0.62,0
2,502,497,0.61,0
3,497,498,0.61,0
4,484,483,0.59,0
5,471,473,0.58,0
6,464,471,0.57,0
7,462,462,0.56,0
8,454,457,0.55,0
9,449,444,0.55,0
10,437,429,0.53,0
11,430,449,0.53,0
12,426,426,0.52,0
13,418,417,0.51,0
14,413,409,0.5,0
15,409,405,0.5,0
16,406,400,0.5,0
17,406,390,0.5,0
18,412,431,0.5,0
19,408,418,0.5,0
20,402,402,0.49,0
21,401,409,0.49,0
22,405,421,0.49,0
23,400,406,0.49,0
24,401,401,0.49,0
25,399,397,0.49,0
26,400,390,0.49,0
27,395,394,0.48,0
28,414,414,0.51,0
29,411,416,0.5,0
30,418,422,0.51,0
31,453,454,0.55,0
32,474,503,0.58,0
33,474,478,0.58,0
34,506,510,0.62,0
35,557,557,0.68,0
36,565,571,0.69,0
37,573,567,0.7,0
38,564,563,0.69,0
39,557,559,0.68,0
40,560,560,0.68,0
41,562,563,0.69,0
42,559,560,0.68,0
43,569,560,0.69,0
44,562,559,0.69,0
45,560,559,0.68,0
46,551,547,0.67,0
47,545,542,0.67,0
48,531,528,0.65,0
49,531,529,0.65,0
50,511,521,0.62,0
51,525,509,0.64,0
52,538,534,0.66,0
53,529,523,0.65,0
54,541,541,0.66,0
55,547,551,0.67,0
56,541,527,0.66,0
57,538,530,0.66,0
58,534,528,0.65,0
59,528,529,0.64,0
60,533,528,0.65,0
61,551,542,0.67,0
62,560,563,0.68,0
63,563,560,0.69,0
64,574,565,0.7,0
65,586,570,0.72,0
66,601,608,0.73,0
67,603,601,0.74,0
68,602,608,0.74,0
69,606,603,0.74,0
70,621,621,0.76,0
71,634,630,0.77,0
72,653,651,0.8,0
73,656,653,0.8,0
74,633,649,0.77,0
75,633,633,0.77,0
76,626,626,0.76,0
77,624,624,0.76,0
78,624,615,0.76,0
79,614,611,0.75,0
80,605,599,0.74,0
81,606,618,0.74,0
82,602,608,0.74,0
83,594,592,0.73,0
84,586,583,0.72,0
85,576,577,0.7,0
86,570,570,0.7,0
87,560,561,0.68,0
88,549,574,0.67,0
89,530,532,0.65,0
90,525,525,0.64,0
91,509,508,0.62,0
92,496,502,0.61,0
93,503,503,0.61,0
94,505,509,0.62,0
95,498,499,0.61,0
96,499,501,0.61,0
97,498,496,0.61,0
98,491,490,0.6,0
99,483,482,0.59,0
