AnalogValue,Density,Amplitude
881,887,1.08
909,903,1.11
889,890,1.09
898,903,1.1
901,898,1.1
891,894,1.09
880,880,1.07
869,875,1.06
873,874,1.07
868,870,1.06
862,864,1.05
853,860,1.04
855,867,1.04
851,853,1.04
848,848,1.04
852,854,1.04
849,855,1.04
850,847,1.04
846,839,1.03
844,842,1.03
834,839,1.02
831,826,1.01
830,815,1.01
821,826,1.0
825,821,1.01
816,816,1.0
813,816,0.99
811,812,0.99
800,802,0.98
800,804,0.98
802,805,0.98
800,803,0.98
792,803,0.97
801,797,0.98
801,797,0.98
799,788,0.98
797,791,0.97
784,765,0.96
777,765,0.95
775,774,0.95
770,768,0.94
763,769,0.93
770,771,0.94
769,763,0.94
769,766,0.94
759,758,0.93
752,752,0.92
751,752,0.92
751,752,0.92
749,743,0.91
743,739,0.91
737,736,0.9
736,738,0.9
733,732,0.89
733,721,0.89
722,723,0.88
725,720,0.89
720,721,0.88
724,727,0.88
734,734,0.9
738,736,0.9
734,738,0.9
737,736,0.9
733,734,0.89
731,727,0.89
731,726,0.89
724,722,0.88
720,719,0.88
714,707,0.87
720,727,0.88
703,716,0.86
707,709,0.86
699,703,0.85
694,693,0.85
694,693,0.85
710,688,0.87
691,688,0.84
690,688,0.84
683,678,0.83
685,678,0.84
683,679,0.83
671,663,0.82
657,658,0.8
649,657,0.79
656,658,0.8
656,656,0.8
656,656,0.8
656,656,0.8
654,656,0.8
653,651,0.8
643,637,0.79
631,631,0.77
636,643,0.78
631,635,0.77
638,635,0.78
639,636,0.78
635,630,0.78
635,634,0.78
634,626,0.77
631,628,0.77
629,626,0.77
627,625,0.77
630,626,0.77
630,625,0.77
653,630,0.8
629,630,0.77
621,625,0.76
621,623,0.76
606,610,0.74
606,614,0.74
619,610,0.76
619,609,0.76
597,614,0.73
611,624,0.75
623,623,0.76
615,622,0.75
620,621,0.76
622,624,0.76
612,626,0.75
626,621,0.76
619,622,0.76
618,624,0.75
622,624,0.76
614,621,0.75
609,613,0.74
608,603,0.74
603,607,0.74
609,604,0.74
613,608,0.75
612,609,0.75
609,617,0.74
607,618,0.74
624,620,0.76
624,626,0.76
612,611,0.75
614,613,0.75
619,618,0.76
619,623,0.76
611,623,0.75
623,621,0.76
619,617,0.76
624,620,0.76
614,609,0.75
603,601,0.74
606,598,0.74
605,603,0.74
614,607,0.75
611,610,0.75
611,609,0.75
614,619,0.75
615,614,0.75
618,615,0.75
611,610,0.75
611,614,0.75
613,618,0.75
614,613,0.75
607,605,0.74
624,620,0.76
615,620,0.75
623,622,0.76
618,618,0.75
601,615,0.73
611,624,0.75
614,614,0.75
610,635,0.74
613,618,0.75
617,617,0.75
612,617,0.75
619,617,0.76
608,609,0.74
611,611,0.75
611,608,0.75
608,609,0.74
612,611,0.75
625,627,0.76
628,624,0.77
629,630,0.77
631,626,0.77
627,627,0.77
625,625,0.76
625,630,0.76
626,632,0.76
639,644,0.78
656,656,0.8
654,654,0.8
643,653,0.79
629,647,0.77
641,639,0.78
641,639,0.78
645,641,0.79
645,641,0.79
647,647,0.79
656,656,0.8
655,659,0.8
656,656,0.8
654,646,0.8
640,638,0.78
640,638,0.78
634,636,0.77
643,639,0.79
643,640,0.79
641,639,0.78
643,645,0.79
645,640,0.79
639,659,0.78
634,634,0.77
639,635,0.78
646,642,0.79
649,646,0.79
653,651,0.8
645,647,0.79
650,648,0.79
646,656,0.79
641,642,0.78
629,627,0.77
631,629,0.77
640,638,0.78
637,635,0.78
640,635,0.78
638,637,0.78
640,635,0.78
647,654,0.79
654,651,0.8
642,645,0.78
641,643,0.78
640,641,0.78
640,640,0.78
656,654,0.8
661,665,0.81
660,666,0.81
669,677,0.82
673,671,0.82
682,671,0.83
676,678,0.83
682,683,0.83
685,682,0.84
685,684,0.84
688,687,0.84
689,688,0.84
688,686,0.84
679,679,0.83
682,682,0.83
684,688,0.84
688,684,0.84
688,688,0.84
688,685,0.84
689,689,0.84
694,689,0.85
688,686,0.84
683,688,0.83
693,690,0.85
702,691,0.86
701,690,0.86
694,695,0.85
699,695,0.85
705,701,0.86
705,704,0.86
695,695,0.85
688,691,0.84
693,694,0.85
690,692,0.84
694,694,0.85
691,694,0.84
699,699,0.85
707,704,0.86
710,711,0.87
707,710,0.86
704,702,0.86
699,699,0.85
703,705,0.86
704,705,0.86
701,701,0.86
705,702,0.86
702,703,0.86
698,706,0.85
703,704,0.86
706,702,0.86
704,701,0.86
707,707,0.86
718,714,0.88
726,730,0.89
730,733,0.89
727,733,0.89
724,726,0.88
720,720,0.88
711,713,0.87
719,718,0.88
715,718,0.87
718,720,0.88
720,719,0.88
719,719,0.88
720,726,0.88
722,722,0.88
719,720,0.88
720,720,0.88
730,730,0.89
733,730,0.89
731,727,0.89
732,734,0.89
734,735,0.9
734,729,0.9
729,727,0.89
720,720,0.88
722,722,0.88
721,721,0.88
720,720,0.88
720,720,0.88
723,725,0.88
721,723,0.88
725,729,0.89
720,721,0.88
717,719,0.88
719,720,0.88
719,718,0.88
717,720,0.88
720,722,0.88
730,731,0.89
731,727,0.89
726,727,0.89
720,718,0.88
718,719,0.88
720,718,0.88
725,725,0.89
731,733,0.89
738,735,0.9
750,733,0.92
747,749,0.91
752,752,0.92
744,746,0.91
750,746,0.92
747,746,0.91
749,747,0.91
751,752,0.92
752,752,0.92
751,751,0.92
752,749,0.92
756,762,0.92
761,755,0.93
759,759,0.93
755,758,0.92
773,777,0.94
775,775,0.95
782,777,0.95
784,779,0.96
785,784,0.96
783,784,0.96
785,784,0.96
790,789,0.96
784,789,0.96
786,786,0.96
789,788,0.96
785,784,0.96
794,795,0.97
791,797,0.97
787,800,0.96
799,798,0.98
798,800,0.97
803,801,0.98
797,800,0.97
803,799,0.98
802,802,0.98
799,801,0.98
805,807,0.98
810,810,0.99
821,822,1.0
817,819,1.0
817,816,1.0
818,818,1.0
829,825,1.01
822,826,1.0
830,827,1.01
827,823,1.01
813,812,0.99
815,825,1.0
816,814,1.0
817,815,1.0
815,816,1.0
816,817,1.0
817,818,1.0
820,816,1.0
811,815,0.99
807,804,0.99
810,811,0.99
815,813,1.0
816,817,1.0
816,815,1.0
815,816,1.0
816,816,1.0
816,811,1.0
805,801,0.98
800,803,0.98
805,805,0.98
806,802,0.98
803,798,0.98
803,806,0.98
807,804,0.99
806,810,0.98
815,809,1.0
809,812,0.99
836,837,1.02
845,843,1.03
846,847,1.03
843,839,1.03
843,841,1.03
847,847,1.03
848,847,1.04
845,841,1.03
834,833,1.02
821,838,1.0
837,837,1.02
835,836,1.02
842,846,1.03
843,848,1.03
851,848,1.04
850,853,1.04
868,854,1.06
871,867,1.06
875,877,1.07
874,874,1.07
871,873,1.06
872,871,1.06
