,AnalogValue,Density,Amplitude,Result
0,688,686,0.84,3
1,692,695,0.84,3
2,737,739,0.9,3
3,736,736,0.9,3
4,732,723,0.89,3
5,721,721,0.88,3
6,722,720,0.88,3
7,723,721,0.88,3
8,714,715,0.87,3
9,706,710,0.86,3
10,704,709,0.86,3
11,699,700,0.85,3
12,689,691,0.84,3
13,681,679,0.83,3
14,686,684,0.84,3
15,682,681,0.83,3
16,685,686,0.84,3
17,683,681,0.83,3
18,685,687,0.84,3
19,684,686,0.84,3
20,686,684,0.84,3
21,679,667,0.83,3
22,704,704,0.86,3
23,701,703,0.86,3
24,721,721,0.88,3
25,737,739,0.9,3
26,725,727,0.89,3
27,720,720,0.88,3
28,718,720,0.88,3
29,715,715,0.87,3
30,704,697,0.86,3
31,702,697,0.86,3
32,688,690,0.84,3
33,688,689,0.84,3
34,686,688,0.84,3
35,683,675,0.83,3
36,679,678,0.83,3
37,677,683,0.83,3
38,682,681,0.83,3
39,674,679,0.82,3
40,669,672,0.82,3
41,669,674,0.82,3
42,679,686,0.83,3
43,690,687,0.84,3
44,679,683,0.83,3
45,676,675,0.83,3
46,672,669,0.82,3
47,674,668,0.82,3
48,668,670,0.82,3
49,660,658,0.81,3
50,656,654,0.8,3
51,650,654,0.79,3
52,656,656,0.8,3
53,657,659,0.8,3
54,700,699,0.85,3
55,705,704,0.86,3
56,726,730,0.89,3
57,735,735,0.9,3
58,731,733,0.89,3
59,727,726,0.89,3
60,720,720,0.88,3
61,702,703,0.86,3
62,697,703,0.85,3
63,691,693,0.84,3
64,687,687,0.84,3
65,679,678,0.83,3
66,670,669,0.82,3
67,663,661,0.81,3
68,657,658,0.8,3
69,657,658,0.8,3
70,650,653,0.79,3
71,680,678,0.83,3
72,685,682,0.84,3
73,689,695,0.84,3
74,699,694,0.85,3
75,692,698,0.84,3
76,693,690,0.85,3
77,687,686,0.84,3
78,685,679,0.84,3
79,672,672,0.82,3
80,670,671,0.82,3
81,674,678,0.82,3
82,675,674,0.82,3
83,673,671,0.82,3
84,666,673,0.81,3
85,673,674,0.82,3
86,687,685,0.84,3
87,687,685,0.84,3
88,690,689,0.84,3
89,685,682,0.84,3
90,687,686,0.84,3
91,681,682,0.83,3
92,672,675,0.82,3
93,673,668,0.82,3
94,666,667,0.81,3
95,656,663,0.8,3
96,671,672,0.82,3
97,675,669,0.82,3
98,678,676,0.83,3
99,677,679,0.83,3
