AnalogValue,Density,Amplitude
996,997,1.22
996,1002,1.22
991,995,1.21
976,978,1.19
976,976,1.19
974,969,1.19
972,971,1.19
966,976,1.18
966,970,1.18
961,955,1.17
961,955,1.17
961,967,1.17
956,951,1.17
944,940,1.15
937,939,1.14
942,943,1.15
933,944,1.14
979,981,1.2
975,983,1.19
977,980,1.19
974,973,1.19
957,959,1.17
961,962,1.17
978,976,1.19
974,975,1.19
970,976,1.18
973,972,1.19
966,965,1.18
960,960,1.17
975,974,1.19
958,958,1.17
960,960,1.17
948,949,1.16
946,944,1.16
948,931,1.16
947,941,1.16
944,947,1.15
945,944,1.15
944,944,1.15
934,925,1.14
938,937,1.15
927,930,1.13
922,925,1.13
929,930,1.13
940,937,1.15
939,937,1.15
944,944,1.15
945,945,1.15
932,929,1.14
935,935,1.14
944,943,1.15
940,938,1.15
947,946,1.16
944,943,1.15
942,944,1.15
944,941,1.15
950,946,1.16
945,949,1.15
945,945,1.15
942,944,1.15
944,942,1.15
958,957,1.17
960,960,1.17
954,950,1.16
944,948,1.15
938,940,1.15
942,941,1.15
937,934,1.14
944,944,1.15
950,944,1.16
951,949,1.16
944,944,1.15
943,939,1.15
933,931,1.14
929,928,1.13
928,928,1.13
931,923,1.14
919,918,1.12
924,922,1.13
919,916,1.12
925,919,1.13
924,923,1.13
912,912,1.11
897,901,1.1
901,901,1.1
900,895,1.1
903,896,1.1
912,914,1.11
912,910,1.11
908,912,1.11
922,915,1.13
928,926,1.13
939,943,1.15
958,960,1.17
1008,1007,1.23
1017,1015,1.24
1040,1040,1.27
1036,1029,1.26
1005,1019,1.23
1008,1005,1.23
990,992,1.21
992,986,1.21
985,987,1.2
981,979,1.2
976,977,1.19
976,974,1.19
963,966,1.18
963,960,1.18
962,960,1.17
949,950,1.16
950,951,1.16
946,946,1.16
953,960,1.16
975,974,1.19
967,964,1.18
955,958,1.17
950,947,1.16
933,935,1.14
934,934,1.14
935,940,1.14
925,926,1.13
938,939,1.15
931,941,1.14
937,935,1.14
934,934,1.14
928,924,1.13
926,926,1.13
921,926,1.12
929,924,1.13
935,931,1.14
930,931,1.14
957,957,1.17
1013,1014,1.24
1006,1001,1.23
984,986,1.2
976,975,1.19
