AnalogValue,Density,Amplitude,Result
396,396,0.48,0
405,407,0.49,0
423,423,0.52,0
413,411,0.5,0
405,402,0.49,0
393,391,0.48,0
385,387,0.47,0
401,404,0.49,0
401,400,0.49,0
439,437,0.54,0
465,468,0.57,0
465,464,0.57,0
471,475,0.58,0
464,455,0.57,0
466,464,0.57,0
453,455,0.55,0
448,449,0.55,0
463,452,0.57,0
445,452,0.54,0
430,422,0.53,0
431,412,0.53,0
400,413,0.49,0
404,409,0.49,0
408,400,0.5,0
400,399,0.49,0
403,385,0.49,0
358,373,0.44,0
358,355,0.44,0
341,347,0.42,0
338,337,0.41,0
331,332,0.4,0
321,320,0.39,0
322,319,0.39,0
321,324,0.39,0
336,346,0.41,0
386,383,0.47,0
400,407,0.49,0
456,463,0.56,0
575,579,0.7,0
595,623,0.73,0
623,615,0.76,0
628,611,0.77,0
615,621,0.75,0
594,596,0.73,0
587,599,0.72,0
579,582,0.71,0
574,576,0.7,0
560,563,0.68,0
543,543,0.66,0
528,521,0.64,0
505,496,0.62,0
495,497,0.6,0
490,494,0.6,0
497,495,0.61,0
496,498,0.61,0
486,487,0.59,0
484,487,0.59,0
483,482,0.59,0
476,464,0.58,0
463,464,0.57,0
464,494,0.57,0
450,449,0.55,0
436,435,0.53,0
431,430,0.53,0
421,413,0.51,0
400,405,0.49,0
394,393,0.48,0
395,400,0.48,0
388,382,0.47,0
373,380,0.46,0
369,368,0.45,0
377,377,0.46,0
385,399,0.47,0
377,372,0.46,0
358,354,0.44,0
366,361,0.45,0
374,371,0.46,0
363,341,0.44,0
352,362,0.43,0
341,345,0.42,0
339,336,0.41,0
322,327,0.39,0
316,318,0.39,0
304,309,0.37,0
309,306,0.38,0
302,303,0.37,0
302,299,0.37,0
297,291,0.36,0
285,287,0.35,0
278,286,0.34,0
271,272,0.33,0
265,257,0.32,0
259,256,0.32,0
260,262,0.32,0
250,256,0.31,0
240,235,0.29,0
240,240,0.29,0
225,227,0.27,0
215,211,0.26,0
208,208,0.25,0
249,246,0.3,0
241,247,0.29,0
243,241,0.3,0
238,238,0.29,0
239,240,0.29,0
234,238,0.29,0
234,231,0.29,0
243,247,0.3,0
238,238,0.29,0
233,229,0.28,0
222,219,0.27,0
208,209,0.25,0
208,203,0.25,0
213,213,0.26,0
213,212,0.26,0
208,206,0.25,0
194,195,0.24,0
185,190,0.23,0
182,181,0.22,0
180,179,0.22,0
179,177,0.22,0
171,171,0.21,0
166,165,0.2,0
174,175,0.21,0
159,165,0.19,0
160,156,0.2,0
154,150,0.19,0
161,173,0.2,0
183,187,0.22,0
182,189,0.22,0
203,208,0.25,0
236,230,0.29,0
224,226,0.27,0
219,219,0.27,0
220,218,0.27,0
226,225,0.28,0
232,223,0.28,0
226,230,0.28,0
219,215,0.27,0
227,234,0.28,0
233,230,0.28,0
214,222,0.26,0
211,215,0.26,0
207,210,0.25,0
202,202,0.25,0
194,194,0.24,0
192,178,0.23,0
181,180,0.22,0
176,176,0.21,0
167,171,0.2,0
173,175,0.21,0
173,167,0.21,0
175,168,0.21,0
179,178,0.22,0
195,196,0.24,0
189,181,0.23,0
192,192,0.23,0
190,179,0.23,0
178,177,0.22,0
172,176,0.21,0
174,172,0.21,0
166,165,0.2,0
164,165,0.2,0
192,193,0.23,0
190,192,0.23,0
219,219,0.27,0
240,240,0.29,0
239,239,0.29,0
256,256,0.31,0
309,311,0.38,0
330,334,0.4,0
368,371,0.45,0
414,406,0.51,0
412,414,0.5,0
416,417,0.51,0
434,433,0.53,0
435,438,0.53,0
432,432,0.53,0
419,417,0.51,0
403,410,0.49,0
404,405,0.49,0
413,400,0.5,0
395,394,0.48,0
382,379,0.47,0
379,371,0.46,0
368,370,0.45,0
341,343,0.42,0
334,336,0.41,0
324,326,0.4,0
324,322,0.4,0
313,310,0.38,0
305,309,0.37,0
300,298,0.37,0
298,295,0.36,0
288,281,0.35,0
281,278,0.34,0
274,265,0.33,0
267,269,0.33,0
266,267,0.32,0
252,256,0.31,0
1195,1194,1.46,0
1197,1198,1.46,0
1200,1211,1.47,0
1264,1265,1.54,0
1264,1264,1.54,0
1251,1255,1.53,0
1266,1274,1.55,0
1274,1279,1.56,0
1278,1271,1.56,0
1271,1268,1.55,0
1255,1261,1.53,0
1254,1250,1.53,0
1262,1267,1.54,0
1298,1300,1.58,0
1291,1285,1.58,0
1283,1279,1.57,0
1277,1271,1.56,0
1271,1274,1.55,0
1283,1286,1.57,0
1293,1291,1.58,0
1265,1263,1.54,0
1264,1264,1.54,0
1264,1263,1.54,0
1258,1256,1.54,0
1251,1250,1.53,0
1234,1239,1.51,0
1232,1231,1.5,0
1222,1217,1.49,0
1216,1218,1.48,0
1203,1204,1.47,0
1197,1200,1.46,0
1195,1197,1.46,0
1205,1206,1.47,0
1230,1232,1.5,0
1239,1241,1.51,0
1232,1232,1.5,0
1237,1235,1.51,0
1231,1235,1.5,0
1222,1228,1.49,0
1216,1215,1.48,0
1207,1203,1.47,0
1200,1200,1.47,0
1189,1188,1.45,0
1198,1195,1.46,0
1187,1188,1.45,0
1193,1197,1.46,0
