,AnalogValue,Density,Amplitude,Result
0,396,396,0.48,2
1,405,407,0.49,2
2,423,423,0.52,2
3,413,411,0.5,2
4,405,402,0.49,2
5,393,391,0.48,2
6,385,387,0.47,2
7,401,404,0.49,2
8,401,400,0.49,2
9,439,437,0.54,2
10,465,468,0.57,2
11,465,464,0.57,2
12,471,475,0.58,2
13,464,455,0.57,2
14,466,464,0.57,2
15,453,455,0.55,2
16,448,449,0.55,2
17,463,452,0.57,2
18,445,452,0.54,2
19,430,422,0.53,2
20,431,412,0.53,2
21,400,413,0.49,2
22,404,409,0.49,2
23,408,400,0.5,2
24,400,399,0.49,2
25,403,385,0.49,2
26,358,373,0.44,2
27,358,355,0.44,2
28,341,347,0.42,2
29,338,337,0.41,2
30,331,332,0.4,2
31,321,320,0.39,2
32,322,319,0.39,2
33,321,324,0.39,2
34,336,346,0.41,2
35,386,383,0.47,2
36,400,407,0.49,2
37,456,463,0.56,2
38,575,579,0.7,2
39,595,623,0.73,2
40,623,615,0.76,2
41,628,611,0.77,2
42,615,621,0.75,2
43,594,596,0.73,2
44,587,599,0.72,2
45,579,582,0.71,2
46,574,576,0.7,2
47,560,563,0.68,2
48,543,543,0.66,2
49,528,521,0.64,2
50,505,496,0.62,2
51,495,497,0.6,2
52,490,494,0.6,2
53,497,495,0.61,2
54,496,498,0.61,2
55,486,487,0.59,2
56,484,487,0.59,2
57,483,482,0.59,2
58,476,464,0.58,2
59,463,464,0.57,2
60,464,494,0.57,2
61,450,449,0.55,2
62,436,435,0.53,2
63,431,430,0.53,2
64,421,413,0.51,2
65,400,405,0.49,2
66,394,393,0.48,2
67,395,400,0.48,2
68,388,382,0.47,2
69,373,380,0.46,2
70,369,368,0.45,2
71,377,377,0.46,2
72,385,399,0.47,2
73,377,372,0.46,2
74,358,354,0.44,2
75,366,361,0.45,2
76,374,371,0.46,2
77,363,341,0.44,2
78,352,362,0.43,2
79,341,345,0.42,2
80,339,336,0.41,2
81,322,327,0.39,2
82,316,318,0.39,2
83,304,309,0.37,2
84,309,306,0.38,2
85,302,303,0.37,2
86,302,299,0.37,2
87,297,291,0.36,2
88,285,287,0.35,2
89,278,286,0.34,2
90,271,272,0.33,2
91,265,257,0.32,2
92,259,256,0.32,2
93,260,262,0.32,2
94,250,256,0.31,2
95,240,235,0.29,2
96,240,240,0.29,2
97,225,227,0.27,2
98,215,211,0.26,2
99,208,208,0.25,2
