,AnalogValue,Density,Amplitude,Result
0,249,246,0.3,2
1,241,247,0.29,2
2,243,241,0.3,2
3,238,238,0.29,2
4,239,240,0.29,2
5,234,238,0.29,2
6,234,231,0.29,2
7,243,247,0.3,2
8,238,238,0.29,2
9,233,229,0.28,2
10,222,219,0.27,2
11,208,209,0.25,2
12,208,203,0.25,2
13,213,213,0.26,2
14,213,212,0.26,2
15,208,206,0.25,2
16,194,195,0.24,2
17,185,190,0.23,2
18,182,181,0.22,2
19,180,179,0.22,2
20,179,177,0.22,2
21,171,171,0.21,2
22,166,165,0.2,2
23,174,175,0.21,2
24,159,165,0.19,2
25,160,156,0.2,2
26,154,150,0.19,2
27,161,173,0.2,2
28,183,187,0.22,2
29,182,189,0.22,2
30,203,208,0.25,2
31,236,230,0.29,2
32,224,226,0.27,2
33,219,219,0.27,2
34,220,218,0.27,2
35,226,225,0.28,2
36,232,223,0.28,2
37,226,230,0.28,2
38,219,215,0.27,2
39,227,234,0.28,2
40,233,230,0.28,2
41,214,222,0.26,2
42,211,215,0.26,2
43,207,210,0.25,2
44,202,202,0.25,2
45,194,194,0.24,2
46,192,178,0.23,2
47,181,180,0.22,2
48,176,176,0.21,2
49,167,171,0.2,2
50,173,175,0.21,2
51,173,167,0.21,2
52,175,168,0.21,2
53,179,178,0.22,2
54,195,196,0.24,2
55,189,181,0.23,2
56,192,192,0.23,2
57,190,179,0.23,2
58,178,177,0.22,2
59,172,176,0.21,2
60,174,172,0.21,2
61,166,165,0.2,2
62,164,165,0.2,2
63,192,193,0.23,2
64,190,192,0.23,2
65,219,219,0.27,2
66,240,240,0.29,2
67,239,239,0.29,2
68,256,256,0.31,2
69,309,311,0.38,2
70,330,334,0.4,2
71,368,371,0.45,2
72,414,406,0.51,2
73,412,414,0.5,2
74,416,417,0.51,2
75,434,433,0.53,2
76,435,438,0.53,2
77,432,432,0.53,2
78,419,417,0.51,2
79,403,410,0.49,2
80,404,405,0.49,2
81,413,400,0.5,2
82,395,394,0.48,2
83,382,379,0.47,2
84,379,371,0.46,2
85,368,370,0.45,2
86,341,343,0.42,2
87,334,336,0.41,2
88,324,326,0.4,2
89,324,322,0.4,2
90,313,310,0.38,2
91,305,309,0.37,2
92,300,298,0.37,2
93,298,295,0.36,2
94,288,281,0.35,2
95,281,278,0.34,2
96,274,265,0.33,2
97,267,269,0.33,2
98,266,267,0.32,2
99,252,256,0.31,2
