AnalogValue,Density,Amplitude
1195,1194,1.46
1197,1198,1.46
1200,1211,1.47
1264,1265,1.54
1264,1264,1.54
1251,1255,1.53
1266,1274,1.55
1274,1279,1.56
1278,1271,1.56
1271,1268,1.55
1255,1261,1.53
1254,1250,1.53
1262,1267,1.54
1298,1300,1.58
1291,1285,1.58
1283,1279,1.57
1277,1271,1.56
1271,1274,1.55
1283,1286,1.57
1293,1291,1.58
1265,1263,1.54
1264,1264,1.54
1264,1263,1.54
1258,1256,1.54
1251,1250,1.53
1234,1239,1.51
1232,1231,1.5
1222,1217,1.49
1216,1218,1.48
1203,1204,1.47
1197,1200,1.46
1195,1197,1.46
1205,1206,1.47
1230,1232,1.5
1239,1241,1.51
1232,1232,1.5
1237,1235,1.51
1231,1235,1.5
1222,1228,1.49
1216,1215,1.48
1207,1203,1.47
1200,1200,1.47
1189,1188,1.45
1198,1195,1.46
1187,1188,1.45
1193,1197,1.46
1217,1215,1.49
1216,1217,1.48
1233,1232,1.51
1223,1228,1.49
1216,1215,1.48
1215,1210,1.48
1200,1200,1.47
1186,1188,1.45
1182,1207,1.44
1171,1182,1.43
1167,1165,1.42
1154,1152,1.41
1152,1152,1.41
1149,1148,1.4
1151,1143,1.41
1146,1140,1.4
1136,1137,1.39
1147,1151,1.4
1161,1157,1.42
1139,1136,1.39
1118,1121,1.37
1120,1117,1.37
1117,1113,1.36
1106,1104,1.35
1101,1103,1.34
1102,1097,1.35
1086,1078,1.33
1086,1082,1.33
1085,1086,1.32
1086,1088,1.33
1073,1077,1.31
1074,1073,1.31
1083,1087,1.32
1103,1097,1.35
1081,1082,1.32
1074,1072,1.31
1070,1072,1.31
1069,1071,1.31
1069,1061,1.31
1067,1065,1.3
1062,1061,1.3
1057,1053,1.29
1049,1053,1.28
1051,1049,1.28
1041,1044,1.27
1040,1023,1.27
1031,1030,1.26
1041,1040,1.27
1049,1049,1.28
1083,1082,1.32
1072,1072,1.31
1077,1083,1.32
1088,1090,1.33
1087,1086,1.33
1081,1076,1.32
1072,1072,1.31
1068,1061,1.3
1057,1053,1.29
1062,1061,1.3
1063,1061,1.3
1050,1047,1.28
1042,1048,1.27
1043,1046,1.27
1058,1051,1.29
1042,1054,1.27
1035,1035,1.26
1040,1039,1.27
1034,1031,1.26
1035,1030,1.26
