,AnalogValue,Density,Amplitude,Result
0,396,396.0,0.48,0
1,405,407.0,0.49,0
2,423,423.0,0.52,0
3,413,411.0,0.5,0
4,405,402.0,0.49,0
5,393,391.0,0.48,0
6,385,387.0,0.47,0
7,401,404.0,0.49,0
8,401,400.0,0.49,0
9,439,437.0,0.54,0
10,465,468.0,0.57,0
11,465,464.0,0.57,0
12,471,475.0,0.58,0
13,464,455.0,0.57,0
14,466,464.0,0.57,0
15,453,455.0,0.55,0
16,448,449.0,0.55,0
17,463,452.0,0.57,0
18,445,452.0,0.54,0
19,430,422.0,0.53,0
20,431,412.0,0.53,0
21,400,413.0,0.49,0
22,404,409.0,0.49,0
23,408,400.0,0.5,0
24,400,399.0,0.49,0
25,403,385.0,0.49,0
26,358,373.0,0.44,0
27,358,355.0,0.44,0
28,341,347.0,0.42,0
29,338,337.0,0.41,0
30,331,332.0,0.4,0
31,321,320.0,0.39,0
32,322,319.0,0.39,0
33,321,324.0,0.39,0
34,336,346.0,0.41,0
35,386,383.0,0.47,0
36,400,407.0,0.49,0
37,456,463.0,0.56,0
38,575,579.0,0.7,0
39,595,623.0,0.73,0
40,623,615.0,0.76,0
41,628,611.0,0.77,0
42,615,621.0,0.75,0
43,594,596.0,0.73,0
44,587,599.0,0.72,0
45,579,582.0,0.71,0
46,574,576.0,0.7,0
47,560,563.0,0.68,0
48,543,543.0,0.66,0
49,528,521.0,0.64,0
50,505,496.0,0.62,0
51,495,497.0,0.6,0
52,490,494.0,0.6,0
53,497,495.0,0.61,0
54,496,498.0,0.61,0
55,486,487.0,0.59,0
56,484,487.0,0.59,0
57,483,482.0,0.59,0
58,476,464.0,0.58,0
59,463,464.0,0.57,0
60,464,494.0,0.57,0
61,450,449.0,0.55,0
62,436,435.0,0.53,0
63,431,430.0,0.53,0
64,421,413.0,0.51,0
65,400,405.0,0.49,0
66,394,393.0,0.48,0
67,395,400.0,0.48,0
68,388,382.0,0.47,0
69,373,380.0,0.46,0
70,369,368.0,0.45,0
71,377,377.0,0.46,0
72,385,399.0,0.47,0
73,377,372.0,0.46,0
74,358,354.0,0.44,0
75,366,361.0,0.45,0
76,374,371.0,0.46,0
77,363,341.0,0.44,0
78,352,362.0,0.43,0
79,341,345.0,0.42,0
80,339,336.0,0.41,0
81,322,327.0,0.39,0
82,316,318.0,0.39,0
83,304,309.0,0.37,0
84,309,306.0,0.38,0
85,302,303.0,0.37,0
86,302,299.0,0.37,0
87,297,291.0,0.36,0
88,285,287.0,0.35,0
89,278,286.0,0.34,0
90,271,272.0,0.33,0
91,265,257.0,0.32,0
92,259,256.0,0.32,0
93,260,262.0,0.32,0
94,250,256.0,0.31,0
95,240,235.0,0.29,0
96,240,240.0,0.29,0
97,225,227.0,0.27,0
98,215,211.0,0.26,0
99,208,208.0,0.25,0
100,249,246.0,0.3,0
101,241,247.0,0.29,0
102,243,241.0,0.3,0
103,238,238.0,0.29,0
104,239,240.0,0.29,0
105,234,238.0,0.29,0
106,234,231.0,0.29,0
107,243,247.0,0.3,0
108,238,238.0,0.29,0
109,233,229.0,0.28,0
110,222,219.0,0.27,0
111,208,209.0,0.25,0
112,208,203.0,0.25,0
113,213,213.0,0.26,0
114,213,212.0,0.26,0
115,208,206.0,0.25,0
116,194,195.0,0.24,0
117,185,190.0,0.23,0
118,182,181.0,0.22,0
119,180,179.0,0.22,0
120,179,177.0,0.22,0
121,171,171.0,0.21,0
122,166,165.0,0.2,0
123,174,175.0,0.21,0
124,159,165.0,0.19,0
125,160,156.0,0.2,0
126,154,150.0,0.19,0
127,161,173.0,0.2,0
128,183,187.0,0.22,0
129,182,189.0,0.22,0
130,203,208.0,0.25,0
131,236,230.0,0.29,0
132,224,226.0,0.27,0
133,219,219.0,0.27,0
134,220,218.0,0.27,0
135,226,225.0,0.28,0
136,232,223.0,0.28,0
137,226,230.0,0.28,0
138,219,215.0,0.27,0
139,227,234.0,0.28,0
140,233,230.0,0.28,0
141,214,222.0,0.26,0
142,211,215.0,0.26,0
143,207,210.0,0.25,0
144,202,202.0,0.25,0
145,194,194.0,0.24,0
146,192,178.0,0.23,0
147,181,180.0,0.22,0
148,176,176.0,0.21,0
149,167,171.0,0.2,0
150,173,175.0,0.21,0
151,173,167.0,0.21,0
152,175,168.0,0.21,0
153,179,178.0,0.22,0
154,195,196.0,0.24,0
155,189,181.0,0.23,0
156,192,192.0,0.23,0
157,190,179.0,0.23,0
158,178,177.0,0.22,0
159,172,176.0,0.21,0
160,174,172.0,0.21,0
161,166,165.0,0.2,0
162,164,165.0,0.2,0
163,192,193.0,0.23,0
164,190,192.0,0.23,0
165,219,219.0,0.27,0
166,240,240.0,0.29,0
167,239,239.0,0.29,0
168,256,256.0,0.31,0
169,309,311.0,0.38,0
170,330,334.0,0.4,0
171,368,371.0,0.45,0
172,414,406.0,0.51,0
173,412,414.0,0.5,0
174,416,417.0,0.51,0
175,434,433.0,0.53,0
176,435,438.0,0.53,0
177,432,432.0,0.53,0
178,419,417.0,0.51,0
179,403,410.0,0.49,0
180,404,405.0,0.49,0
181,413,400.0,0.5,0
182,395,394.0,0.48,0
183,382,379.0,0.47,0
184,379,371.0,0.46,0
185,368,370.0,0.45,0
186,341,343.0,0.42,0
187,334,336.0,0.41,0
188,324,326.0,0.4,0
189,324,322.0,0.4,0
190,313,310.0,0.38,0
191,305,309.0,0.37,0
192,300,298.0,0.37,0
193,298,295.0,0.36,0
194,288,281.0,0.35,0
195,281,278.0,0.34,0
196,274,265.0,0.33,0
197,267,269.0,0.33,0
198,266,267.0,0.32,0
199,252,256.0,0.31,0
200,1195,1194.0,1.46,0
201,1197,1198.0,1.46,0
202,1200,1211.0,1.47,0
203,1264,1265.0,1.54,0
204,1264,1264.0,1.54,0
205,1251,1255.0,1.53,0
206,1266,1274.0,1.55,0
207,1274,1279.0,1.56,0
208,1278,1271.0,1.56,0
209,1271,1268.0,1.55,0
210,1255,1261.0,1.53,0
211,1254,1250.0,1.53,0
212,1262,1267.0,1.54,0
213,1298,1300.0,1.58,0
214,1291,1285.0,1.58,0
215,1283,1279.0,1.57,0
216,1277,1271.0,1.56,0
217,1271,1274.0,1.55,0
218,1283,1286.0,1.57,0
219,1293,1291.0,1.58,0
220,1265,1263.0,1.54,0
221,1264,1264.0,1.54,0
222,1264,1263.0,1.54,0
223,1258,1256.0,1.54,0
224,1251,1250.0,1.53,0
225,1234,1239.0,1.51,0
226,1232,1231.0,1.5,0
227,1222,1217.0,1.49,0
228,1216,1218.0,1.48,0
229,1203,1204.0,1.47,0
230,1197,1200.0,1.46,0
231,1195,1197.0,1.46,0
232,1205,1206.0,1.47,0
